name	aa	bb	cc	dd	ee	ff
3332	17	0	44	1	0.0	0.0222
15596	34	0	74	0	0.0	0.0
15990	6	0	15	1	0.0	0.0625
12072	14	0	37	1	0.0	0.0263
14973	17	0	37	1	0.0	0.0263
14002	11	1	9	0	0.0833	0.0
1347	9	1	15	3	0.1	0.1667
15323	6	1	18	0	0.1429	0.0
15071	19	0	29	0	0.0	0.0
15854	12	2	34	12	0.1429	0.2609
12508	11	0	12	3	0.0	0.2
3692	44	1	83	0	0.0222	0.0
14162	12	0	31	2	0.0	0.0606
13376	15	0	34	1	0.0	0.0286
1345	6	0	13	1	0.0	0.0714
3085	10	0	26	1	0.0	0.037
11900	10	0	10	1	0.0	0.0909
15784	23	1	57	1	0.0417	0.0172
11775	7	0	27	0	0.0	0.0
945	10	0	24	1	0.0	0.04
12506	16	0	56	1	0.0	0.0175
12895	12	0	36	3	0.0	0.0769
12868	23	0	51	30	0.0	0.3704
14847	23	0	53	2	0.0	0.0364
3002	14	0	42	0	0.0	0.0
6278	10	0	26	0	0.0	0.0
14641	7	0	14	1	0.0	0.0667
11351	8	0	19	1	0.0	0.05
1410	15	0	17	2	0.0	0.1053
1983	8	1	17	1	0.1111	0.0556
11613	13	0	19	0	0.0	0.0
14963	34	0	91	0	0.0	0.0
12255	11	0	20	1	0.0	0.0476
15001	17	1	27	0	0.0556	0.0
10252	11	0	20	0	0.0	0.0
16024	7	0	25	2	0.0	0.0741
1000	17	0	41	4	0.0	0.0889
1530	19	0	38	0	0.0	0.0
14769	14	1	27	3	0.0667	0.1
3849	16	0	19	0	0.0	0.0
9456	10	0	12	0	0.0	0.0
13810	35	1	93	3	0.0278	0.0313
2203	14	1	45	1	0.0667	0.0217
15021	10	0	20	3	0.0	0.1304
16033	8	0	22	2	0.0	0.0833
12818	22	0	47	1	0.0	0.0208
12476	13	1	14	1	0.0714	0.0667
207	13	0	15	1	0.0	0.0625
3014	17	2	36	1	0.1053	0.027
3496	23	1	73	3	0.0417	0.0395
16027	12	1	27	0	0.0769	0.0
10176	24	0	56	0	0.0	0.0
15153	13	0	48	1	0.0	0.0204
6620	11	1	51	0	0.0833	0.0
14569	22	0	50	4	0.0	0.0741
9307	11	0	21	0	0.0	0.0
12456	25	0	60	0	0.0	0.0
15492	9	0	44	1	0.0	0.0222
2916	18	0	34	5	0.0	0.1282
12770	26	0	68	4	0.0	0.0556
1391	8	0	33	1	0.0	0.0294
10579	13	0	10	1	0.0	0.0909
1747	6	0	24	0	0.0	0.0
14285	12	0	35	1	0.0	0.0278
13787	11	0	20	0	0.0	0.0
779	20	0	34	2	0.0	0.0556
8141	14	0	31	1	0.0	0.0313
6951	27	0	50	1	0.0	0.0196
1888	10	5	18	1	0.3333	0.0526
11225	12	0	10	4	0.0	0.2857
13710	28	1	64	1	0.0345	0.0154
9928	14	0	27	1	0.0	0.0357
102	12	0	44	7	0.0	0.1373
9769	10	0	29	0	0.0	0.0
15059	16	1	38	0	0.0588	0.0
7658	15	1	27	0	0.0625	0.0
14900	11	0	18	2	0.0	0.1
16317	6	0	21	1	0.0	0.0455
2418	13	1	30	0	0.0714	0.0
10731	6	0	11	0	0.0	0.0
14927	6	0	31	1	0.0	0.0313
3244	52	2	65	5	0.037	0.0714
2023	17	0	36	0	0.0	0.0
1364	20	0	42	1	0.0	0.0233
5827	16	0	49	2	0.0	0.0392
11438	8	0	28	1	0.0	0.0345
14048	11	0	25	0	0.0	0.0
